Success 1: checkpoint_epoch_1_20250320_171718: Pat 6, 40 Epochs, .0001 LR, 32 Batch Size, 4 Layers, .3 Dropout, 16-128 Conv, 2 Linear 128-256, Fold 1:

Epoch [36/50], Train Loss: 0.3110, Train Acc: 87.63%, Val Loss: 0.2920, Val Acc: 88.49%
Epoch [37/50], Train Loss: 0.3029, Train Acc: 88.26%, Val Loss: 0.3005, Val Acc: 88.02%
Epoch [38/50], Train Loss: 0.3080, Train Acc: 88.02%, Val Loss: 0.2869, Val Acc: 88.52%
Epoch [39/50], Train Loss: 0.3101, Train Acc: 87.57%, Val Loss: 0.2869, Val Acc: 89.12%
Epoch [40/50], Train Loss: 0.3083, Train Acc: 87.63%, Val Loss: 0.2927, Val Acc: 89.36%
Early stopping triggered.
Training on fold 5/5...
Epoch [1/50], Train Loss: 1.0669, Train Acc: 41.95%, Val Loss: 1.0265, Val Acc: 45.23%
Epoch [2/50], Train Loss: 0.9622, Train Acc: 50.93%, Val Loss: 0.9474, Val Acc: 51.46%
Epoch [3/50], Train Loss: 0.8629, Train Acc: 58.02%, Val Loss: 0.7971, Val Acc: 61.50%
Epoch [4/50], Train Loss: 0.7542, Train Acc: 64.99%, Val Loss: 0.7403, Val Acc: 65.45%
Epoch [5/50], Train Loss: 0.6883, Train Acc: 68.54%, Val Loss: 0.6516, Val Acc: 70.27%
Epoch [6/50], Train Loss: 0.5830, Train Acc: 74.48%, Val Loss: 0.5288, Val Acc: 77.50%
Epoch [7/50], Train Loss: 0.5536, Train Acc: 75.82%, Val Loss: 0.5095, Val Acc: 78.51%
Epoch [8/50], Train Loss: 0.5218, Train Acc: 77.89%, Val Loss: 0.5272, Val Acc: 76.00%
Epoch [9/50], Train Loss: 0.4901, Train Acc: 79.36%, Val Loss: 0.4782, Val Acc: 79.54%
Epoch [10/50], Train Loss: 0.4713, Train Acc: 80.28%, Val Loss: 0.4391, Val Acc: 82.42%
Epoch [11/50], Train Loss: 0.4345, Train Acc: 81.92%, Val Loss: 0.4015, Val Acc: 83.56%
Epoch [12/50], Train Loss: 0.4150, Train Acc: 83.19%, Val Loss: 0.3779, Val Acc: 84.67%
Epoch [13/50], Train Loss: 0.4063, Train Acc: 83.49%, Val Loss: 0.3735, Val Acc: 85.30%
Epoch [14/50], Train Loss: 0.3998, Train Acc: 83.22%, Val Loss: 0.3895, Val Acc: 84.03%
Epoch [15/50], Train Loss: 0.3835, Train Acc: 84.45%, Val Loss: 0.3496, Val Acc: 85.04%
Epoch [16/50], Train Loss: 0.3673, Train Acc: 85.44%, Val Loss: 0.3402, Val Acc: 86.98%
Epoch [17/50], Train Loss: 0.3620, Train Acc: 85.44%, Val Loss: 0.3284, Val Acc: 87.04%
Epoch [18/50], Train Loss: 0.3680, Train Acc: 85.19%, Val Loss: 0.3190, Val Acc: 87.78%
Epoch [19/50], Train Loss: 0.3475, Train Acc: 86.04%, Val Loss: 0.3123, Val Acc: 87.41%
Epoch [20/50], Train Loss: 0.3465, Train Acc: 85.97%, Val Loss: 0.3060, Val Acc: 87.78%
Epoch [21/50], Train Loss: 0.3491, Train Acc: 86.11%, Val Loss: 0.3064, Val Acc: 87.98%
Epoch [22/50], Train Loss: 0.3420, Train Acc: 86.43%, Val Loss: 0.3019, Val Acc: 87.55%
Epoch [23/50], Train Loss: 0.3389, Train Acc: 86.55%, Val Loss: 0.3090, Val Acc: 87.78%
Epoch [24/50], Train Loss: 0.3404, Train Acc: 86.30%, Val Loss: 0.3008, Val Acc: 87.98%
Epoch [25/50], Train Loss: 0.3249, Train Acc: 87.03%, Val Loss: 0.3087, Val Acc: 87.95%
Epoch [26/50], Train Loss: 0.3264, Train Acc: 86.96%, Val Loss: 0.3043, Val Acc: 88.15%
Epoch [27/50], Train Loss: 0.3277, Train Acc: 86.80%, Val Loss: 0.2994, Val Acc: 88.68%
Epoch [28/50], Train Loss: 0.3257, Train Acc: 87.34%, Val Loss: 0.3144, Val Acc: 87.71%
Epoch [29/50], Train Loss: 0.3219, Train Acc: 87.30%, Val Loss: 0.2964, Val Acc: 88.32%
Epoch [30/50], Train Loss: 0.3210, Train Acc: 87.30%, Val Loss: 0.2971, Val Acc: 88.55%
Epoch [31/50], Train Loss: 0.3251, Train Acc: 86.90%, Val Loss: 0.2921, Val Acc: 88.35%
Epoch [32/50], Train Loss: 0.3276, Train Acc: 86.82%, Val Loss: 0.3059, Val Acc: 87.41%
Epoch [33/50], Train Loss: 0.3169, Train Acc: 87.48%, Val Loss: 0.2850, Val Acc: 89.02%
Epoch [34/50], Train Loss: 0.3185, Train Acc: 87.32%, Val Loss: 0.2698, Val Acc: 89.76%
Epoch [35/50], Train Loss: 0.3232, Train Acc: 86.91%, Val Loss: 0.2933, Val Acc: 88.75%
Epoch [36/50], Train Loss: 0.3192, Train Acc: 87.78%, Val Loss: 0.2877, Val Acc: 89.15%
Epoch [37/50], Train Loss: 0.3106, Train Acc: 87.68%, Val Loss: 0.2831, Val Acc: 89.39%
Epoch [38/50], Train Loss: 0.3155, Train Acc: 87.60%, Val Loss: 0.3006, Val Acc: 88.35%
Epoch [39/50], Train Loss: 0.3194, Train Acc: 87.41%, Val Loss: 0.2993, Val Acc: 88.25%
Epoch [40/50], Train Loss: 0.3236, Train Acc: 87.16%, Val Loss: 0.2966, Val Acc: 88.58%
Early stopping triggered.

Running again for CNN v5.
